PassengerID,Customer_History_ID,Ticket_Booking_Date,Flight_Date,Days_Before_Travel,Traveler_Type,Membership_Status,Origin,Destination,Travel_Class,Peak_Season,Base_Ticket_Price,WiFi_Purchased,WiFi_Price,Lounge_Access_Purchased,Lounge_Price,Meals_Purchased,Meals_Price,Insurance_Purchased,Insurance_Price,Priority_Boarding_Purchased,Priority_Boarding_Price,Carbon_Offset_Purchased,Carbon_Offset_Price,Total_Ancillary_Cost,Final_Ticket_Price
P0001,CH0001,2014-12-28,2015-02-22,56,Business,No Status,Rome,London,Business,No,490,Yes,25,No,0,Yes,15,Yes,20,No,0,Yes,5,65,555
P0001,CH0001,2022-06-11,2022-08-05,55,Business,No Status,Rome,London,Business,Yes,446,Yes,15,No,0,Yes,15,Yes,10,No,0,No,0,40,486
P0001,CH0001,2016-05-15,2016-07-16,62,Business,No Status,Rome,London,Business,Yes,454,No,0,No,0,Yes,15,No,0,Yes,20,No,0,35,489
P0001,CH0001,2024-11-26,2024-12-16,20,Business,No Status,London,Berlin,Business,Yes,368,Yes,10,Yes,25,No,0,Yes,25,No,0,No,0,60,428
P0001,CH0001,2014-05-17,2014-09-03,109,Business,No Status,Madrid,Barcelona,Business,No,297,Yes,10,Yes,30,Yes,20,No,0,Yes,5,No,0,65,362
P0001,CH0001,2023-05-14,2023-09-11,120,Business,No Status,Munich,Vienna,Business,No,366,Yes,20,Yes,50,Yes,30,No,0,No,0,No,0,100,466
P0001,CH0001,2021-10-06,2021-10-19,13,Business,No Status,London,Paris,Business,No,318,No,0,Yes,30,No,0,No,0,No,0,No,0,30,348
P0001,CH0001,2021-08-15,2021-09-23,39,Business,No Status,Madrid,Barcelona,Business,No,385,Yes,30,Yes,25,No,0,Yes,10,No,0,No,0,65,450
P0001,CH0001,2018-04-23,2018-05-20,27,Business,No Status,Madrid,Barcelona,Business,No,337,Yes,20,Yes,40,No,0,No,0,Yes,20,No,0,80,417
P0001,CH0001,2014-06-08,2014-06-25,17,Business,No Status,London,Paris,Business,Yes,463,No,0,Yes,50,Yes,40,No,0,Yes,10,No,0,100,563
P0001,CH0001,2023-07-11,2023-09-05,56,Business,No Status,Frankfurt,Madrid,Business,No,432,Yes,20,No,0,No,0,No,0,No,0,No,0,20,452
P0001,CH0001,2023-11-04,2024-02-12,100,Business,No Status,Rome,London,Business,No,543,No,0,Yes,30,No,0,Yes,15,No,0,No,0,45,588
P0001,CH0001,2013-11-25,2014-03-24,119,Business,No Status,Paris,Rome,Business,No,465,No,0,Yes,30,Yes,15,No,0,Yes,20,No,0,65,530
P0001,CH0001,2019-02-14,2019-05-27,102,Business,No Status,Amsterdam,Zurich,Business,No,408,Yes,15,Yes,40,No,0,No,0,Yes,20,No,0,75,483
P0001,CH0001,2018-09-13,2019-01-04,113,Business,No Status,London,Berlin,Business,No,386,Yes,20,Yes,50,Yes,30,No,0,No,0,Yes,5,105,491
P0001,CH0001,2014-12-13,2014-12-14,1,Business,No Status,Vienna,Prague,Business,Yes,413,No,0,Yes,30,Yes,15,No,0,No,0,No,0,45,458
P0002,CH0002,2025-04-07,2025-05-17,40,Business,No Status,Berlin,Amsterdam,Business,No,520,Yes,25,Yes,30,Yes,40,No,0,No,0,No,0,95,615
P0002,CH0002,2020-09-26,2020-09-27,1,Business,No Status,Vienna,Prague,Business,No,357,Yes,25,No,0,No,0,No,0,No,0,No,0,25,382
P0002,CH0002,2021-09-12,2021-12-06,85,Business,No Status,London,Berlin,Business,Yes,341,Yes,30,Yes,30,No,0,Yes,15,Yes,5,No,0,80,421
P0002,CH0002,2022-12-23,2023-02-15,54,Business,No Status,Amsterdam,Zurich,Business,No,511,No,0,No,0,Yes,40,Yes,10,No,0,No,0,50,561
P0002,CH0002,2019-12-25,2020-04-06,103,Business,No Status,Berlin,Amsterdam,Business,No,528,No,0,Yes,30,No,0,Yes,15,No,0,No,0,45,573
P0002,CH0002,2023-03-02,2023-06-25,115,Business,No Status,London,Berlin,Business,Yes,433,No,0,No,0,Yes,40,No,0,No,0,No,0,40,473
P0002,CH0002,2017-08-02,2017-11-09,99,Business,No Status,Vienna,Prague,Business,No,413,Yes,15,Yes,25,No,0,Yes,20,Yes,5,Yes,5,70,483
P0002,CH0002,2025-02-23,2025-03-23,28,Business,No Status,Paris,Rome,Business,No,396,Yes,20,Yes,50,Yes,40,No,0,No,0,No,0,110,506
P0002,CH0002,2023-07-15,2023-07-16,1,Business,No Status,London,Paris,Business,Yes,390,Yes,25,No,0,No,0,No,0,No,0,No,0,25,415
P0002,CH0002,2017-07-04,2017-08-08,35,Business,No Status,Munich,Vienna,Business,Yes,411,Yes,25,Yes,50,No,0,No,0,No,0,No,0,75,486
P0002,CH0002,2014-05-07,2014-07-19,73,Business,No Status,London,Berlin,Business,Yes,489,Yes,25,Yes,50,Yes,30,No,0,Yes,15,No,0,120,609
P0002,CH0002,2018-03-24,2018-07-09,107,Business,No Status,Paris,Rome,Business,Yes,400,Yes,30,Yes,40,Yes,15,No,0,No,0,No,0,85,485
P0002,CH0002,2016-12-31,2017-01-20,20,Business,No Status,Rome,London,Business,No,461,Yes,10,Yes,30,Yes,30,No,0,Yes,5,No,0,75,536
P0002,CH0002,2018-02-15,2018-02-19,4,Business,No Status,Madrid,Barcelona,Business,No,329,No,0,No,0,Yes,20,Yes,15,Yes,15,No,0,50,379
P0002,CH0002,2015-10-20,2015-10-26,6,Business,No Status,Munich,Vienna,Business,No,388,No,0,Yes,25,Yes,30,Yes,25,No,0,Yes,10,90,478
P0002,CH0002,2025-02-19,2025-03-14,23,Business,No Status,Amsterdam,Zurich,Business,No,537,No,0,Yes,50,Yes,30,No,0,Yes,5,No,0,85,622
P0002,CH0002,2017-06-01,2017-08-19,79,Business,No Status,Amsterdam,Zurich,Business,Yes,521,Yes,10,Yes,40,Yes,20,No,0,Yes,15,No,0,85,606
P0002,CH0002,2021-12-23,2022-01-17,25,Business,No Status,Vienna,Prague,Business,No,301,Yes,25,Yes,30,No,0,No,0,No,0,No,0,55,356
P0002,CH0002,2018-01-14,2018-04-13,89,Business,No Status,Berlin,Amsterdam,Business,No,412,Yes,30,Yes,40,Yes,30,No,0,No,0,No,0,100,512
P0002,CH0002,2015-10-27,2015-12-07,41,Business,No Status,Rome,London,Business,Yes,430,No,0,No,0,No,0,Yes,25,Yes,15,No,0,40,470
P0002,CH0002,2018-03-20,2018-04-12,23,Business,No Status,Rome,London,Business,No,477,Yes,30,Yes,25,No,0,No,0,No,0,Yes,15,70,547
P0002,CH0002,2014-08-10,2014-10-10,61,Business,No Status,Berlin,Amsterdam,Business,No,472,Yes,15,No,0,Yes,40,Yes,10,No,0,Yes,3,68,540
P0002,CH0002,2016-09-29,2016-10-10,11,Business,No Status,Madrid,Barcelona,Business,No,313,Yes,25,Yes,30,No,0,No,0,No,0,No,0,55,368
P0002,CH0002,2020-02-29,2020-05-19,80,Business,No Status,Munich,Vienna,Business,No,315,No,0,No,0,No,0,Yes,15,Yes,5,Yes,5,25,340
P0002,CH0002,2015-01-07,2015-03-01,53,Business,No Status,London,Berlin,Business,No,435,No,0,Yes,25,Yes,30,No,0,No,0,No,0,55,490
P0002,CH0002,2024-07-11,2024-10-22,103,Business,No Status,Vienna,Prague,Business,No,330,Yes,30,Yes,30,No,0,No,0,Yes,10,No,0,70,400
P0002,CH0002,2025-08-14,2025-10-10,57,Business,No Status,Munich,Vienna,Business,No,331,Yes,20,Yes,40,Yes,40,No,0,No,0,No,0,100,431
P0002,CH0002,2023-04-19,2023-05-01,12,Business,No Status,Frankfurt,Madrid,Business,No,458,No,0,No,0,Yes,15,No,0,No,0,No,0,15,473
P0002,CH0002,2016-05-25,2016-08-17,84,Business,No Status,London,Paris,Business,Yes,413,No,0,Yes,50,No,0,No,0,Yes,15,No,0,65,478
P0002,CH0002,2024-02-07,2024-02-28,21,Business,No Status,Frankfurt,Madrid,Business,No,484,Yes,25,Yes,50,No,0,No,0,No,0,No,0,75,559
P0003,CH0003,2015-05-23,2015-07-28,66,Business,No Status,Frankfurt,Madrid,Business,Yes,611,No,0,Yes,50,Yes,20,No,0,No,0,No,0,70,681
P0003,CH0003,2014-01-28,2014-04-09,71,Business,No Status,Amsterdam,Zurich,Business,No,383,No,0,Yes,50,Yes,20,No,0,Yes,5,No,0,75,458
P0003,CH0003,2017-01-30,2017-02-15,16,Business,No Status,Berlin,Amsterdam,Business,No,515,No,0,Yes,40,Yes,30,No,0,No,0,No,0,70,585
P0003,CH0003,2022-02-16,2022-03-13,25,Business,No Status,Amsterdam,Zurich,Business,No,503,No,0,No,0,No,0,Yes,25,Yes,15,No,0,40,543
P0003,CH0003,2025-03-12,2025-05-27,76,Business,No Status,Vienna,Prague,Business,No,428,No,0,Yes,30,Yes,40,No,0,No,0,No,0,70,498
P0003,CH0003,2019-03-23,2019-04-23,31,Business,No Status,Amsterdam,Zurich,Business,No,496,Yes,25,Yes,50,No,0,No,0,Yes,10,No,0,85,581
P0003,CH0003,2016-08-07,2016-09-19,43,Business,No Status,London,Paris,Business,No,325,No,0,Yes,50,Yes,20,No,0,No,0,Yes,15,85,410
P0003,CH0003,2019-09-02,2019-10-23,51,Business,No Status,Vienna,Prague,Business,No,446,Yes,20,No,0,No,0,No,0,Yes,20,No,0,40,486
P0003,CH0003,2022-11-19,2023-02-08,81,Business,No Status,London,Paris,Business,No,475,No,0,No,0,No,0,No,0,Yes,5,No,0,5,480
P0003,CH0003,2013-10-01,2014-01-11,102,Business,No Status,Vienna,Prague,Business,No,294,Yes,20,Yes,30,Yes,20,Yes,10,No,0,No,0,80,374
P0003,CH0003,2021-09-05,2021-10-05,30,Business,No Status,Rome,London,Business,No,518,No,0,Yes,25,No,0,No,0,Yes,10,Yes,10,45,563
P0003,CH0003,2018-08-17,2018-11-14,89,Business,No Status,Munich,Vienna,Business,No,364,Yes,20,Yes,50,No,0,Yes,25,No,0,No,0,95,459
P0003,CH0003,2014-10-08,2014-11-13,36,Business,No Status,Vienna,Prague,Business,No,282,No,0,Yes,25,No,0,No,0,No,0,No,0,25,307
P0003,CH0003,2023-03-18,2023-06-08,82,Business,No Status,Rome,London,Business,Yes,448,No,0,Yes,30,No,0,No,0,No,0,No,0,30,478
P0003,CH0003,2014-07-10,2014-10-12,94,Business,No Status,Amsterdam,Zurich,Business,No,383,Yes,20,Yes,50,Yes,20,No,0,No,0,No,0,90,473
P0003,CH0003,2017-11-12,2018-03-09,117,Business,No Status,London,Berlin,Business,No,443,No,0,Yes,40,No,0,No,0,Yes,10,No,0,50,493
P0003,CH0003,2022-02-21,2022-06-03,102,Business,No Status,Paris,Rome,Business,Yes,481,Yes,30,Yes,40,No,0,No,0,No,0,No,0,70,551
P0003,CH0003,2015-09-08,2015-11-08,61,Business,No Status,Frankfurt,Madrid,Business,No,406,No,0,No,0,Yes,20,No,0,No,0,No,0,20,426
P0003,CH0003,2024-06-16,2024-07-04,18,Business,No Status,Vienna,Prague,Business,Yes,291,No,0,Yes,50,Yes,20,No,0,Yes,20,No,0,90,381
P0003,CH0003,2020-07-22,2020-10-24,94,Business,No Status,London,Berlin,Business,No,359,No,0,Yes,50,No,0,No,0,Yes,15,No,0,65,424
P0003,CH0003,2017-03-08,2017-06-04,88,Business,No Status,Amsterdam,Zurich,Business,Yes,444,No,0,No,0,Yes,40,Yes,10,No,0,No,0,50,494
P0003,CH0003,2024-01-30,2024-04-21,82,Business,No Status,Berlin,Amsterdam,Business,No,502,No,0,Yes,40,Yes,20,No,0,Yes,10,No,0,70,572
P0003,CH0003,2018-11-30,2019-03-26,116,Business,No Status,Rome,London,Business,No,552,Yes,15,No,0,Yes,20,Yes,10,Yes,15,No,0,60,612
P0003,CH0003,2023-05-09,2023-06-01,23,Business,No Status,Rome,London,Business,Yes,467,Yes,25,Yes,25,Yes,30,No,0,Yes,10,No,0,90,557
P0003,CH0003,2025-10-09,2025-11-17,39,Business,No Status,London,Paris,Business,No,417,No,0,Yes,50,No,0,No,0,Yes,20,Yes,3,73,490
P0003,CH0003,2023-02-14,2023-03-03,17,Business,No Status,Frankfurt,Madrid,Business,No,470,No,0,Yes,40,Yes,30,No,0,No,0,Yes,3,73,543
P0003,CH0003,2025-02-15,2025-04-14,58,Business,No Status,London,Berlin,Business,No,378,Yes,25,Yes,25,Yes,30,No,0,Yes,10,No,0,90,468
P0003,CH0003,2015-02-16,2015-02-27,11,Business,No Status,Amsterdam,Zurich,Business,No,373,Yes,20,No,0,Yes,30,No,0,No,0,No,0,50,423
P0003,CH0003,2024-10-25,2025-01-10,77,Business,No Status,Paris,Rome,Business,No,459,Yes,30,Yes,30,No,0,Yes,10,Yes,15,Yes,10,95,554
P0003,CH0003,2017-05-17,2017-07-28,72,Business,No Status,Munich,Vienna,Business,Yes,459,No,0,Yes,25,No,0,No,0,No,0,Yes,10,35,494
P0004,CH0004,2019-05-08,2019-06-01,24,Business,No Status,Vienna,Prague,Business,Yes,316,No,0,Yes,30,No,0,No,0,Yes,10,No,0,40,356
P0004,CH0004,2019-01-31,2019-03-12,40,Business,No Status,Amsterdam,Zurich,Business,No,534,Yes,30,Yes,25,Yes,15,No,0,Yes,20,No,0,90,624
P0004,CH0004,2020-01-31,2020-05-07,97,Business,No Status,Amsterdam,Zurich,Business,No,481,Yes,25,Yes,50,Yes,30,Yes,25,No,0,Yes,5,135,616
P0004,CH0004,2017-02-20,2017-03-25,33,Business,No Status,Vienna,Prague,Business,No,354,Yes,10,Yes,50,Yes,40,No,0,Yes,15,Yes,3,118,472
P0004,CH0004,2014-04-14,2014-08-03,111,Business,No Status,Paris,Rome,Business,Yes,460,No,0,Yes,50,Yes,40,Yes,20,Yes,20,No,0,130,590
P0004,CH0004,2015-07-14,2015-07-28,14,Business,No Status,Frankfurt,Madrid,Business,Yes,462,Yes,25,Yes,50,No,0,No,0,Yes,10,Yes,3,88,550
P0004,CH0004,2022-03-11,2022-04-25,45,Business,No Status,London,Berlin,Business,No,409,No,0,No,0,No,0,Yes,15,Yes,10,No,0,25,434
P0004,CH0004,2016-09-17,2016-11-16,60,Business,No Status,Berlin,Amsterdam,Business,No,543,No,0,Yes,40,No,0,No,0,Yes,5,No,0,45,588
P0004,CH0004,2018-08-17,2018-10-02,46,Business,No Status,Vienna,Prague,Business,No,409,Yes,25,Yes,25,Yes,30,Yes,10,No,0,No,0,90,499
P0004,CH0004,2023-06-23,2023-09-26,95,Business,No Status,Amsterdam,Zurich,Business,No,360,Yes,30,Yes,40,No,0,No,0,No,0,No,0,70,430
P0004,CH0004,2024-11-26,2025-02-17,83,Business,No Status,Frankfurt,Madrid,Business,No,444,Yes,25,No,0,Yes,20,No,0,No,0,No,0,45,489
P0004,CH0004,2024-06-22,2024-10-02,102,Business,No Status,Frankfurt,Madrid,Business,No,561,No,0,Yes,25,Yes,40,Yes,15,Yes,10,No,0,90,651
P0004,CH0004,2024-11-01,2024-12-22,51,Business,No Status,Vienna,Prague,Business,Yes,313,No,0,No,0,Yes,40,No,0,Yes,10,No,0,50,363
P0004,CH0004,2015-09-28,2015-11-22,55,Business,No Status,London,Berlin,Business,No,450,Yes,20,Yes,30,Yes,40,Yes,15,Yes,15,No,0,120,570
P0004,CH0004,2022-06-24,2022-09-27,95,Business,No Status,Berlin,Amsterdam,Business,No,484,Yes,20,No,0,No,0,No,0,Yes,10,No,0,30,514
P0004,CH0004,2016-12-09,2016-12-15,6,Business,No Status,Munich,Vienna,Business,Yes,405,Yes,15,No,0,No,0,No,0,No,0,No,0,15,420
P0004,CH0004,2018-08-02,2018-08-27,25,Business,No Status,Rome,London,Business,Yes,494,No,0,Yes,50,Yes,30,No,0,No,0,No,0,80,574
P0004,CH0004,2017-06-15,2017-10-05,112,Business,No Status,Madrid,Barcelona,Business,No,314,Yes,25,No,0,Yes,15,No,0,No,0,Yes,3,43,357
P0004,CH0004,2018-07-29,2018-08-17,19,Business,No Status,Madrid,Barcelona,Business,Yes,361,Yes,15,No,0,No,0,No,0,No,0,No,0,15,376
P0004,CH0004,2017-05-16,2017-07-03,48,Business,No Status,Frankfurt,Madrid,Business,Yes,457,Yes,10,No,0,No,0,No,0,Yes,15,No,0,25,482
P0004,CH0004,2024-12-24,2025-03-25,91,Business,No Status,Amsterdam,Zurich,Business,No,470,Yes,10,No,0,Yes,20,No,0,No,0,No,0,30,500
P0004,CH0004,2020-01-19,2020-02-25,37,Business,No Status,London,Berlin,Business,No,380,Yes,10,Yes,50,Yes,40,No,0,Yes,10,No,0,110,490
P0004,CH0004,2019-12-05,2020-01-20,46,Business,No Status,Vienna,Prague,Business,No,341,No,0,Yes,25,Yes,30,Yes,10,Yes,20,Yes,15,100,441
P0004,CH0004,2018-10-16,2018-12-01,46,Business,No Status,Frankfurt,Madrid,Business,Yes,601,Yes,15,No,0,No,0,No,0,No,0,No,0,15,616
P0004,CH0004,2019-05-29,2019-09-11,105,Business,No Status,London,Paris,Business,No,464,Yes,25,No,0,Yes,20,No,0,Yes,20,Yes,5,70,534
P0004,CH0004,2016-09-13,2017-01-11,120,Business,No Status,London,Paris,Business,No,379,No,0,No,0,Yes,30,Yes,15,Yes,5,No,0,50,429
P0004,CH0004,2018-01-09,2018-02-26,48,Business,No Status,Frankfurt,Madrid,Business,No,511,No,0,No,0,No,0,No,0,No,0,No,0,0,511
P0004,CH0004,2019-05-29,2019-09-09,103,Business,No Status,Amsterdam,Zurich,Business,No,371,No,0,Yes,30,Yes,30,Yes,20,No,0,No,0,80,451
P0004,CH0004,2025-04-08,2025-07-06,89,Business,No Status,Munich,Vienna,Business,Yes,413,Yes,10,No,0,No,0,No,0,No,0,No,0,10,423
P0004,CH0004,2015-09-30,2015-11-21,52,Business,No Status,London,Paris,Business,No,393,No,0,No,0,Yes,15,Yes,25,Yes,5,No,0,45,438
P0005,CH0005,2019-07-14,2019-07-19,5,Business,No Status,Frankfurt,Madrid,Business,Yes,554,Yes,25,No,0,Yes,15,No,0,No,0,No,0,40,594
P0005,CH0005,2016-10-29,2017-02-01,95,Business,No Status,Vienna,Prague,Business,No,327,Yes,25,No,0,Yes,30,No,0,Yes,15,No,0,70,397
P0005,CH0005,2016-10-18,2017-02-05,110,Business,No Status,Amsterdam,Zurich,Business,No,368,Yes,25,No,0,No,0,No,0,No,0,No,0,25,393
P0005,CH0005,2022-05-18,2022-09-10,115,Business,No Status,Berlin,Amsterdam,Business,No,426,No,0,No,0,No,0,No,0,No,0,No,0,0,426
P0005,CH0005,2016-11-26,2017-03-08,102,Business,No Status,Berlin,Amsterdam,Business,No,476,Yes,30,Yes,50,No,0,No,0,No,0,Yes,10,90,566
P0005,CH0005,2025-10-09,2025-12-16,68,Business,No Status,Paris,Rome,Business,Yes,485,No,0,No,0,Yes,30,No,0,No,0,No,0,30,515
P0005,CH0005,2016-07-07,2016-09-21,76,Business,No Status,Frankfurt,Madrid,Business,No,446,No,0,Yes,25,No,0,No,0,Yes,10,No,0,35,481
P0005,CH0005,2019-05-24,2019-09-10,109,Business,No Status,Rome,London,Business,No,420,Yes,30,Yes,40,No,0,Yes,15,No,0,No,0,85,505
P0005,CH0005,2024-06-30,2024-10-24,116,Business,No Status,Madrid,Barcelona,Business,No,336,No,0,Yes,25,Yes,30,No,0,No,0,No,0,55,391
P0005,CH0005,2021-10-11,2021-11-18,38,Business,No Status,London,Paris,Business,No,464,No,0,Yes,50,Yes,15,No,0,Yes,20,No,0,85,549
P0005,CH0005,2019-08-25,2019-10-05,41,Business,No Status,Rome,London,Business,No,583,Yes,20,No,0,Yes,30,No,0,Yes,10,No,0,60,643
P0005,CH0005,2021-03-23,2021-04-05,13,Business,No Status,Vienna,Prague,Business,No,292,Yes,25,No,0,Yes,20,No,0,No,0,No,0,45,337
P0005,CH0005,2016-06-18,2016-08-17,60,Business,No Status,Rome,London,Business,Yes,527,No,0,Yes,25,No,0,No,0,No,0,No,0,25,552
P0005,CH0005,2013-11-07,2014-01-10,64,Business,No Status,Frankfurt,Madrid,Business,No,552,No,0,Yes,50,Yes,15,No,0,No,0,No,0,65,617
P0005,CH0005,2020-04-11,2020-06-02,52,Business,No Status,Frankfurt,Madrid,Business,Yes,413,No,0,Yes,40,Yes,40,No,0,Yes,5,Yes,3,88,501
P0005,CH0005,2019-05-02,2019-06-18,47,Business,No Status,Paris,Rome,Business,Yes,573,Yes,30,Yes,25,Yes,20,No,0,No,0,No,0,75,648
P0005,CH0005,2023-07-25,2023-09-05,42,Business,No Status,Madrid,Barcelona,Business,No,331,Yes,30,No,0,Yes,30,No,0,No,0,No,0,60,391
P0005,CH0005,2018-08-24,2018-08-27,3,Business,No Status,Munich,Vienna,Business,Yes,394,Yes,10,No,0,Yes,15,No,0,Yes,10,No,0,35,429
P0005,CH0005,2020-12-26,2021-03-17,81,Business,No Status,Munich,Vienna,Business,No,458,No,0,Yes,30,Yes,15,Yes,25,Yes,10,No,0,80,538
P0005,CH0005,2020-07-08,2020-09-25,79,Business,No Status,Rome,London,Business,No,520,No,0,No,0,Yes,20,No,0,No,0,No,0,20,540
P0005,CH0005,2022-06-18,2022-07-11,23,Business,No Status,Amsterdam,Zurich,Business,Yes,467,No,0,Yes,40,No,0,No,0,No,0,No,0,40,507
P0005,CH0005,2023-07-06,2023-08-07,32,Business,No Status,Vienna,Prague,Business,Yes,351,No,0,Yes,40,No,0,No,0,No,0,No,0,40,391
P0005,CH0005,2019-06-25,2019-09-26,93,Business,No Status,Amsterdam,Zurich,Business,No,420,Yes,30,Yes,50,No,0,No,0,Yes,10,No,0,90,510
P0005,CH0005,2024-10-16,2025-02-12,119,Business,No Status,Vienna,Prague,Business,No,393,No,0,No,0,Yes,30,No,0,No,0,Yes,5,35,428
P0005,CH0005,2014-10-19,2014-11-17,29,Business,No Status,Rome,London,Business,No,563,Yes,10,Yes,50,Yes,20,Yes,15,No,0,No,0,95,658
P0005,CH0005,2021-08-02,2021-11-07,97,Business,No Status,Amsterdam,Zurich,Business,No,423,Yes,10,No,0,Yes,20,No,0,No,0,No,0,30,453
P0005,CH0005,2019-11-15,2020-03-02,108,Business,No Status,Madrid,Barcelona,Business,No,351,No,0,Yes,40,No,0,Yes,10,No,0,No,0,50,401
P0005,CH0005,2024-07-15,2024-09-17,64,Business,No Status,Amsterdam,Zurich,Business,No,384,No,0,Yes,30,No,0,No,0,No,0,No,0,30,414
P0005,CH0005,2014-08-31,2014-12-11,102,Business,No Status,Madrid,Barcelona,Business,Yes,325,No,0,No,0,Yes,40,No,0,No,0,Yes,3,43,368
P0005,CH0005,2016-04-13,2016-08-11,120,Business,No Status,Madrid,Barcelona,Business,Yes,313,Yes,25,Yes,40,No,0,No,0,No,0,Yes,10,75,388
P0006,CH0006,2014-09-05,2014-11-04,60,Business,No Status,Rome,London,Business,No,478,Yes,30,No,0,No,0,No,0,No,0,No,0,30,508
P0006,CH0006,2019-09-09,2019-10-08,29,Business,No Status,Vienna,Prague,Business,No,314,Yes,25,No,0,No,0,No,0,No,0,No,0,25,339
P0006,CH0006,2024-03-24,2024-04-25,32,Business,No Status,London,Berlin,Business,No,494,No,0,No,0,Yes,40,No,0,Yes,5,Yes,5,50,544
P0006,CH0006,2022-01-23,2022-03-06,42,Business,No Status,Munich,Vienna,Business,No,433,Yes,15,No,0,Yes,40,No,0,No,0,No,0,55,488
P0006,CH0006,2022-11-19,2023-01-18,60,Business,No Status,Amsterdam,Zurich,Business,No,522,No,0,No,0,Yes,15,No,0,No,0,Yes,10,25,547
P0006,CH0006,2021-09-05,2022-01-03,120,Business,No Status,Berlin,Amsterdam,Business,No,470,Yes,25,Yes,30,No,0,No,0,No,0,No,0,55,525
P0006,CH0006,2021-07-02,2021-07-13,11,Business,No Status,Paris,Rome,Business,Yes,554,No,0,No,0,Yes,30,Yes,25,No,0,No,0,55,609
P0006,CH0006,2013-11-11,2014-01-10,60,Business,No Status,Rome,London,Business,No,572,No,0,Yes,50,No,0,Yes,20,Yes,10,No,0,80,652
P0006,CH0006,2014-08-27,2014-11-14,79,Business,No Status,Berlin,Amsterdam,Business,No,546,No,0,No,0,Yes,15,Yes,10,No,0,No,0,25,571
P0006,CH0006,2017-10-11,2017-12-02,52,Business,No Status,London,Paris,Business,Yes,412,Yes,15,No,0,No,0,Yes,20,Yes,15,No,0,50,462
P0006,CH0006,2017-02-09,2017-05-05,85,Business,No Status,Frankfurt,Madrid,Business,No,533,Yes,20,Yes,30,No,0,No,0,No,0,No,0,50,583
P0006,CH0006,2022-04-30,2022-06-23,54,Business,No Status,Paris,Rome,Business,Yes,484,Yes,25,Yes,50,Yes,20,No,0,No,0,No,0,95,579
P0006,CH0006,2022-05-03,2022-07-14,72,Business,No Status,London,Paris,Business,Yes,435,Yes,15,Yes,40,No,0,No,0,No,0,Yes,5,60,495
P0006,CH0006,2018-05-05,2018-07-22,78,Business,No Status,London,Paris,Business,Yes,454,Yes,10,Yes,30,Yes,30,No,0,No,0,No,0,70,524
